electricity,transport,waste,water,category
125,0,18.6,338,Moderate
449,0,15.9,324,Needs Improvement
500,2,17.7,185,Needs Improvement
246,3,11.9,292,Needs Improvement
69,1,6.2,123,Excellent
366,3,1.7,219,Moderate
403,1,1.9,293,Moderate
187,2,1.4,205,Good
209,2,17.0,100,Moderate
494,1,3.6,276,Moderate
446,2,6.1,263,Needs Improvement
359,0,4.6,158,Good
471,3,15.1,314,Needs Improvement
494,2,16.6,313,Needs Improvement
455,1,2.2,309,Moderate
256,1,15.8,318,Moderate
500,0,4.3,152,Moderate
478,0,5.7,283,Moderate
75,2,14.4,190,Moderate
238,3,10.6,113,Moderate
398,0,5.6,300,Moderate
354,3,4.4,292,Needs Improvement
350,2,7.5,182,Moderate
433,0,6.4,247,Moderate
75,1,17.2,159,Good
488,1,13.3,155,Needs Improvement
187,3,10.8,54,Moderate
292,1,13.3,54,Moderate
164,2,12.6,206,Moderate
414,2,9.1,242,Needs Improvement
486,2,9.7,161,Needs Improvement
288,2,13.9,253,Needs Improvement
349,0,1.1,241,Good
337,2,6.7,105,Moderate
296,0,7.4,191,Good
377,2,17.4,183,Needs Improvement
385,2,4.6,314,Moderate
441,1,18.1,256,Needs Improvement
388,2,13.9,63,Needs Improvement
385,3,20.0,182,Needs Improvement
264,3,8.4,68,Moderate
348,1,7.5,163,Moderate
401,3,18.2,233,Needs Improvement
309,2,17.1,335,Needs Improvement
142,2,2.9,115,Good
429,2,14.8,336,Needs Improvement
440,1,19.0,221,Needs Improvement
385,0,5.2,164,Good
431,2,9.0,219,Needs Improvement
240,2,12.1,287,Moderate
485,0,9.9,348,Moderate
347,0,10.0,149,Good
306,0,17.5,245,Moderate
321,2,8.8,127,Moderate
120,1,7.5,341,Good
284,1,7.0,142,Good
448,0,10.3,140,Moderate
210,0,1.1,190,Excellent
157,1,11.9,131,Good
300,0,3.5,272,Good
374,3,8.7,294,Needs Improvement
246,0,1.7,152,Excellent
424,2,19.1,214,Needs Improvement
437,1,1.3,52,Good
370,1,5.3,226,Moderate
209,1,3.0,307,Good
351,2,4.2,73,Moderate
202,2,9.7,316,Moderate
355,2,9.2,118,Moderate
225,3,7.8,146,Moderate
134,3,1.4,164,Good
422,1,5.0,61,Moderate
351,1,3.3,69,Good
242,2,15.7,74,Moderate
354,0,13.6,60,Moderate
74,0,8.9,244,Excellent
113,2,10.0,128,Good
155,0,6.7,101,Excellent
389,2,12.8,120,Needs Improvement
264,0,10.7,110,Good
194,0,15.9,304,Moderate
151,1,15.8,317,Moderate
153,2,14.4,201,Moderate
132,0,11.4,156,Excellent
402,3,7.3,51,Needs Improvement
56,0,18.2,343,Good
392,3,3.8,96,Moderate
449,0,14.7,101,Moderate
181,1,9.7,201,Good
185,3,2.0,139,Moderate
497,0,17.2,234,Needs Improvement
460,2,9.1,109,Needs Improvement
98,0,1.2,120,Excellent
